"date","BUD","RI.PA","HEINY"
"2011-05-03",49.658382,57.66832,25.717947
"2011-05-04",47.770439,56.744888,25.880774
"2011-05-05",46.744202,57.84623,25.409435
"2011-05-06",46.493526,58.456219,25.083786
"2011-05-07",46.493526,58.456219,25.083786
"2011-05-08",46.493526,58.456219,25.083786
"2011-05-09",46.376019,58.176632,25.2209
"2011-05-10",46.415188,57.947899,25.452286
"2011-05-11",45.631813,58.871326,25.049503
"2011-05-12",46.352509,58.498585,25.692238
"2011-05-13",46.650196,58.862869,25.529411
"2011-05-14",46.650196,58.862869,25.529411
"2011-05-15",46.650196,58.862869,25.529411
"2011-05-16",46.618866,58.608704,25.777935
"2011-05-17",47.002724,57.829288,25.880774
"2011-05-18",46.994884,58.041092,26.09502
"2011-05-19",47.323906,58.60022,26.446377
"2011-05-20",47.347412,58.608704,25.503702
"2011-05-21",47.347412,58.608704,25.503702
"2011-05-22",47.347412,58.608704,25.503702
"2011-05-23",45.780659,57.270145,25.092358
"2011-05-24",45.913826,58.396908,24.98094
"2011-05-25",45.811989,58.235931,25.040936
"2011-05-26",45.678814,57.702206,25.040936
"2011-05-27",45.976501,58.447731,25.255175
"2011-05-28",45.976501,58.447731,25.255175
"2011-05-29",45.976501,58.447731,25.255175
"2011-05-30",45.976501,59.057724,25.255175
"2011-05-31",47.378746,59.430481,25.855062
"2011-06-01",46.658043,58.93911,25.418007
"2011-06-02",46.313351,58.202053,25.717947
"2011-06-03",46.58754,58.278294,25.649391
"2011-06-04",46.58754,58.278294,25.649391
"2011-06-05",46.58754,58.278294,25.649391
"2011-06-06",46.031338,58.379974,25.803644
"2011-06-07",46.08617,57.930946,25.863636
"2011-06-08",45.905991,57.304031,25.27232
"2011-06-09",45.960827,57.719154,25.229471
"2011-06-10",44.715267,56.804188,24.689569
"2011-06-11",44.715267,56.804188,24.689569
"2011-06-12",44.715267,56.804188,24.689569
"2011-06-13",44.832767,57.015999,24.783838
"2011-06-14",45.373291,57.041409,24.766701
"2011-06-15",44.229565,56.541546,24.158249
"2011-06-16",43.884872,56.592392,24.261084
"2011-06-17",44.660419,56.871964,24.509607
"2011-06-18",44.660419,56.871964,24.509607
"2011-06-19",44.660419,56.871964,24.509607
"2011-06-20",44.832767,56.871964,24.972372
"2011-06-21",45.24012,56.804188,25.238041
"2011-06-22",44.511574,56.295876,25.058071
"2011-06-23",44.386238,55.524921,24.775267
"2011-06-24",43.595028,55.652008,24.715282
"2011-06-25",43.595028,55.652008,24.715282
"2011-06-26",43.595028,55.652008,24.715282
"2011-06-27",44.010223,56.702515,25.023794
"2011-06-28",44.832767,57.168484,25.298027
"2011-06-29",45.185287,57.744572,25.409435
"2011-06-30",45.443802,57.583599,25.837921
"2011-07-01",45.490799,57.900177,25.829353
"2011-07-02",45.490799,57.900177,25.829353
"2011-07-03",45.490799,57.900177,25.829353
"2011-07-04",45.490799,58.944035,25.829353
"2011-07-05",45.498646,59.192177,26.052168
"2011-07-06",45.404633,59.414639,25.529411
"2011-07-07",46.141006,59.851017,25.889339
"2011-07-08",45.130455,59.517311,25.666525
"2011-07-09",45.130455,59.517311,25.666525
"2011-07-10",45.130455,59.517311,25.666525
"2011-07-11",43.689034,58.747269,24.903818
"2011-07-12",42.874321,57.883072,24.509607
"2011-07-13",42.827316,57.994305,24.629583
"2011-07-14",43.195503,57.326923,24.638153
"2011-07-15",43.978878,57.20713,24.80098
"2011-07-16",43.978878,57.20713,24.80098
"2011-07-17",43.978878,57.20713,24.80098
"2011-07-18",43.39917,56.650974,24.252514
"2011-07-19",44.276566,56.616745,24.338211
"2011-07-20",44.652588,57.318356,24.629583
"2011-07-21",45.584808,58.738708,25.392294
"2011-07-22",46.415188,59.611423,25.606539
"2011-07-23",46.415188,59.611423,25.606539
"2011-07-24",46.415188,59.611423,25.606539
"2011-07-25",46.297676,59.483089,25.486563
"2011-07-26",46.477863,60.253143,25.803644
"2011-07-27",45.451637,59.945129,25.238041
